brand,name,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
Toyota,Toyota Taisor S Plus AMT,900000.0,2025,Own Damage,Petrol,5,250 ,First Owner,1197 ,Automatic,2025
Kia,Kia Sonet HTX Diesel BSVI,890000.0,2021,Comprehensive,Diesel,5,41000 ,First Owner,1493 ,Manual,2021
Tata,Tata Nexon XZ Plus Dark Edition BSVI,850000.0,2022,Own Damage,Petrol,5,80000 ,First Owner,1199 ,Manual,2022
Tata,Tata Nexon XZ Plus BSVI,850000.0,2022,Comprehensive,Petrol,5,29347 ,Second Owner,1199 ,Manual,2022
Hyundai,Hyundai Creta 1.6 SX,775000.0,2018,Own Damage,Petrol,5,81000 ,First Owner,1591 ,Manual,2018
Kia,Kia Seltos HTE G,960000.0,2023,Own Damage,Petrol,5,10000 ,First Owner,1497 ,Manual,2023
Toyota,Toyota Yaris G CVT BSIV,660000.0,2019,Own Damage,Petrol,5,77000 ,First Owner,1496 ,Automatic,2018
Skoda,Skoda Octavia 2.0 TDI AT L K,1000000.0,2018,Own Damage,Diesel,5,79000 ,First Owner,1968 ,Automatic,2018
Kia,Kia Carens Prestige,1000000.0,2023,Own Damage,Petrol,7,50000 ,First Owner,1497 ,Manual,2023
Skoda,Skoda Octavia 1.8 TSI AT Style,850000.0,2020,Zero Dep,Petrol,5,100000 ,First Owner,1798 ,Automatic,2020
Tata,Tata Nexon XM Plus S BSVI,685000.0,2022,Own Damage,Petrol,5,39000 ,First Owner,1199 ,Manual,2022
Hyundai,Hyundai Creta 1.4 E Plus CRDi,650000.0,2018,Zero Dep,Diesel,5,28000 ,First Owner,1396 ,Manual,2018
Mahindra,Mahindra Bolero Neo N8,849000.0,2024,Comprehensive,Diesel,7,16000 ,First Owner,1493 ,Manual,2024
Kia,Kia Sonet GTX Plus Turbo DCT DT,975000.0,2020,Comprehensive,Petrol,5,57000 ,First Owner,998 ,Automatic,2020
Tata,Tata Nexon XZA Plus LUXS Red Dark AMT,890000.0,2023,Own Damage,Petrol,5,20000 ,First Owner,1199 ,Automatic,2023
Hyundai,Hyundai Venue SX Plus Turbo DCT BSIV,660000.0,2019,Zero Dep,Petrol,5,60000 ,First Owner,998 ,Automatic,2019
Maruti,Maruti Vitara Brezza ZXI Plus,699000.0,2021,Own Damage,Petrol,5,50000 ,First Owner,1462 ,Manual,2021
Hyundai,Hyundai i20 N-Line N8 DCT BSVI,875000.0,2022,Comprehensive,Petrol,5,37000 ,First Owner,998 ,Automatic,2022
Honda,Honda City i-VTEC CVT ZX,790000.0,2018,Comprehensive,Petrol,5,61087 ,Second Owner,1497 ,Automatic,2018
Maruti,Maruti XL6 Zeta,950000.0,2021,Comprehensive,Petrol,6,21000 ,First Owner,1462 ,Manual,2021
Tata,Tata Nexon XM Diesel BSVI,675000.0,2021,Own Damage,Diesel,5,68000 ,First Owner,1497 ,Manual,2021
Hyundai,Hyundai Creta 1.6 SX Automatic,875000.0,2019,Third Party,Petrol,5,55000 ,Second Owner,1591 ,Automatic,2019
Jeep,Jeep Compass 2.0 Sport,792000.0,2018,Comprehensive,Diesel,5,37000 ,First Owner,1956 ,Manual,2018
Hyundai,Hyundai Creta 1.6 VTVT SX Plus,620000.0,2017,Own Damage,Petrol,5,75045 ,First Owner,1591 ,Manual,2017
Hyundai,Hyundai Creta 1.6 SX,900000.0,2020,Comprehensive,Petrol,5,64000 ,Second Owner,1591 ,Manual,2020
Hyundai,Hyundai Creta E Diesel BSVI,950000.0,2022,Comprehensive,Diesel,5,48003 ,First Owner,1493 ,Manual,2022
Maruti,Maruti Baleno Alpha BSVI,750000.0,2022,Comprehensive,Petrol,5,20900 ,First Owner,1197 ,Manual,2022
Hyundai,Hyundai i20 Asta Turbo DCT DT,800000.0,2020,Own Damage,Petrol,5,50000 ,Second Owner,998 ,Automatic,2020
Kia,Kia Seltos HTK Diesel,799000.0,2019,Comprehensive,Diesel,5,123000 ,First Owner,1493 ,Manual,2019
Hyundai,Hyundai Creta 1.6 VTVT E Plus,685000.0,2017,Own Damage,Petrol,5,34900 ,First Owner,1591 ,Manual,2017
Tata,Tata Altroz XZA Plus DCT,755000.0,2023,Zero Dep,Petrol,5,27000 ,First Owner,1199 ,Automatic,2023
Kia,Kia Seltos HTK Diesel,875000.0,2021,Own Damage,Diesel,5,100000 ,First Owner,1493 ,Manual,2021
Hyundai,Hyundai Venue S 2023-2025,925000.0,2024,Comprehensive,Petrol,5,33000 ,First Owner,1197 ,Manual,2024
Maruti,Maruti S Cross Zeta,730000.0,2021,Own Damage,Petrol,5,44000 ,First Owner,1462 ,Manual,2021
Tata,Tata Nexon XZ Plus S 2020-2022,700000.0,2021,Own Damage,Petrol,5,50000 ,First Owner,1199 ,Manual,2021
Hyundai,Hyundai Creta 1.4 S,650000.0,2019,Own Damage,Diesel,5,160000 ,First Owner,1396 ,Manual,2019
Tata,Tata Nexon Pure AMT,949000.0,2024,Zero Dep,Petrol,5,5000 ,First Owner,1199 ,Automatic,2024
Maruti,Maruti Vitara Brezza ZDi,715000.0,2019,Own Damage,Diesel,5,40000 ,First Owner,1248 ,Manual,2019
Tata,Tata Altroz XZ Plus OS,870000.0,2025,Own Damage,Petrol,5,100 ,,1199 ,Manual,2025
Tata,Tata Nexon EV XZ Plus,700000.0,2021,Third Party,Electric,5,70000 ,First Owner,,Automatic,2021
Hyundai,Hyundai Creta 1.6 SX,985000.0,2020,Comprehensive,Petrol,5,68000 ,First Owner,1591 ,Manual,2020
Honda,Honda WR-V i-VTEC S,425000.0,2017,Own Damage,Petrol,5,74000 ,First Owner,1199 ,Manual,2017
