url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_2a791345-2c52-4188-829a-99aade5fc592.htm,2024 Kia Seltos GTX Plus Turbo DCT,₹18.50 LakhMake Your Offer,Aug 2024,Comprehensive,Petrol,5 Seats,"14,000 Kms",First Owner,1482 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-savvy-pro-cvt-cars-New-Delhi_cd8e8b70-def7-4475-97bc-d66b3034ad71.htm,2024 MG Hector Plus Savvy Pro CVT,₹19.75 LakhMake Your Offer,Oct 2024,Comprehensive,Petrol,6 Seats,"3,206 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-cars-New-Delhi_0c2a2f28-8991-4073-a52d-75114ec7ec7f.htm,2024 MG Hector Plus Sharp Pro CVT 7 Str,₹18.90 LakhMake Your Offer,Dec 2024,-,Petrol,7 Seats,"6,000 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-savvy-pro-cvt-2023-2025-cars-New-Delhi_d8d352dc-2551-4779-a523-febed65e69fd.htm,2024 MG Hector Savvy Pro CVT 2023-2025,₹17.25 LakhMake Your Offer,Dec 2024,-,Petrol,5 Seats,"14,000 Kms",,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_7447ed0c-e74f-48c1-a5a5-4ec4a9fbf4da.htm,2023 Kia Seltos GTX Plus Turbo DCT,₹17.50 LakhMake Your Offer,Nov 2023,Zero Dep,Petrol,5 Seats,"11,000 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-imt-bsvi-cars-New-Delhi_4d646b1a-e646-4bb1-813f-e5f0f2830967.htm,2023 Kia Carens Luxury Plus iMT BSVI,₹15.25 LakhMake Your Offer,Jul 2023,-,Petrol,7 Seats,"7,100 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-zx-7-str-at-cars-New-Delhi_e010760a-9948-4f5a-9384-63521faef99f.htm,2022 Toyota Innova Crysta 2.4 ZX 7 STR AT,₹20 LakhMake Your Offer,Jun 2022,Comprehensive,Diesel,7 Seats,"97,000 Kms",First Owner,2393 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-tech-ivt-cars-New-Delhi_dee924ec-7782-47af-8aff-c4d091311730.htm,2024 Hyundai Creta SX Tech iVT,₹17.50 LakhMake Your Offer,Apr 2024,Comprehensive,Petrol,5 Seats,"16,000 Kms",First Owner,1497 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-7str-cars-New-Delhi_34b20cb9-a32b-4bb6-bb81-946fc6c57631.htm,2024 Toyota Innova Crysta 2.4 GX 7Str,₹19.75 LakhMake Your Offer,Jul 2024,Third Party,Diesel,7 Seats,"23,000 Kms",First Owner,2393 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-ex-cvt-cars-New-Delhi_df5a34d8-1a35-407d-bbd1-b1653f9d9425.htm,2023 MG Hector Sharp EX CVT,₹18 LakhMake Your Offer,Jul 2023,-,Petrol,5 Seats,"14,000 Kms",First Owner,1451 cc,Automatic,2023
